TIME;BeatAvg;;;;;;;;;BeatavgFiltered;SmoothedBeatavgFiltered
01:36:33;71.71;;;;;;;;;69.67;66.76
01:36:34;65.66;;;;;;;;;68.68;67.0
01:36:35;68.85;;;;;;;;;68.68;67.27
01:36:36;72.94;;;;;;;;;68.55;67.57
01:36:37;67.46;;;;;;;;;66.43;67.85
01:36:38;65.73;;;;;;;;;65.47;68.08
01:37:20;67.5;;;;;;;;;65.43;68.17
01:37:31;68.19;;;;;;;;;65.88;68.13
01:37:32;75.17;;;;;;;;;67.93;68.04
01:37:41;70.75;;;;;;;;;68.6;68.01
01:37:53;66.74;;;;;;;;;67.8;68.16
01:37:54;66.99;;;;;;;;;67.0;68.42
01:37:55;64.68;;;;;;;;;66.23;68.7
01:38:12;69.66;;;;;;;;;65.85;68.85
01:38:13;61.25;;;;;;;;;66.03;68.75
01:38:13;61.04;;;;;;;;;65.47;68.47
01:38:14;70.73;;;;;;;;;65.85;68.09
01:38:46;73.66;;;;;;;;;66.35;68.02
01:38:47;70.78;;;;;;;;;67.2;67.95
01:39:02;70.26;;;;;;;;;69.38;67.86
01:39:03;72.17;;;;;;;;;69.92;67.76
01:39:31;67.61;;;;;;;;;70.2;67.65
01:39:32;68.46;;;;;;;;;69.55;67.53
01:39:32;68.07;;;;;;;;;67.95;67.4
01:39:33;69.66;;;;;;;;;67.95;67.25
01:40:05;63.35;;;;;;;;;67.78;67.08
01:40:06;66.36;;;;;;;;;68.02;66.9
01:40:07;68.23;;;;;;;;;67.88;66.71
01:40:08;62.79;;;;;;;;;65.7;66.5
01:40:09;60.5;;;;;;;;;64.82;66.27
01:40:13;70.85;;;;;;;;;63.48;66.03
01:40:13;67.41;;;;;;;;;64.72;65.76
01:40:25;67.51;;;;;;;;;67.3;65.48
01:40:26;64.82;;;;;;;;;69.25;65.18
01:40:34;69.24;;;;;;;;;69.9;64.86
01:40:35;66.13;;;;;;;;;67.05;64.52
01:40:36;60.35;;;;;;;;;64.03;64.16
01:40:37;57.34;;;;;;;;;61.25;63.77
01:40:38;61.53;;;;;;;;;60.65;63.36
01:40:39;59.44;;;;;;;;;61.6;62.93
01:40:40;58.22;;;;;;;;;61.95;62.48
01:40:41;57.33;;;;;;;;;61.05;62.0
